property_id,date,event_type,severity,damage_value
PROP_00074,2020-01-01,Flood,Minor,589208
PROP_00080,2020-01-01,Hail,Moderate,439971
PROP_00083,2020-01-01,Storm,Minor,772888
PROP_00085,2020-01-01,Storm,Moderate,814183
PROP_00138,2020-01-01,Storm,Severe,5412253
PROP_00162,2020-01-01,Storm,Severe,1861031
PROP_00233,2020-01-01,Hail,Minor,2184419
PROP_00301,2020-01-01,Storm,Moderate,551682
PROP_00319,2020-01-01,Storm,Moderate,2436546
PROP_00360,2020-01-01,Flood,Minor,1905454
PROP_00363,2020-01-01,Flood,Minor,239658
PROP_00411,2020-01-01,Flood,Severe,1107050
PROP_00427,2020-01-01,Flood,Minor,1343116
PROP_00492,2020-01-01,Storm,Minor,609681
PROP_00523,2020-01-01,Flood,Moderate,1665229
PROP_00652,2020-01-01,Storm,Moderate,2908325
PROP_00739,2020-01-01,Flood,Minor,3194287
PROP_00805,2020-01-01,Flood,Minor,636275
PROP_00813,2020-01-01,Flood,Moderate,2565303
PROP_00840,2020-01-01,Flood,Severe,2510742
PROP_00849,2020-01-01,Flood,Moderate,512323
PROP_00949,2020-01-01,Flood,Minor,1513029
PROP_00962,2020-01-01,Hail,Minor,844807
PROP_00075,2020-01-31,Hail,Minor,2911368
PROP_00186,2020-01-31,Hail,Minor,1115231
PROP_00235,2020-01-31,Hail,Moderate,1605107
PROP_00243,2020-01-31,Storm,Minor,627490
PROP_00306,2020-01-31,Storm,Moderate,210747
PROP_00480,2020-01-31,Flood,Moderate,3007671
PROP_00506,2020-01-31,Flood,Minor,1795063
PROP_00599,2020-01-31,Flood,Minor,2156119
PROP_00637,2020-01-31,Flood,Minor,1323328
PROP_00686,2020-01-31,Storm,Moderate,3457871
PROP_00711,2020-01-31,Flood,Minor,2168162
PROP_00788,2020-01-31,Storm,Moderate,928430
PROP_00874,2020-01-31,Flood,Minor,251090
PROP_00941,2020-01-31,Storm,Minor,1190261
PROP_00987,2020-01-31,Storm,Minor,1743417
PROP_00999,2020-01-31,Flood,Moderate,887695
PROP_00011,2020-03-01,Hail,Minor,478904
PROP_00020,2020-03-01,Flood,Minor,1154370
PROP_00032,2020-03-01,Storm,Severe,1273162
PROP_00035,2020-03-01,Flood,Severe,1466404
PROP_00053,2020-03-01,Flood,Minor,3872914
PROP_00063,2020-03-01,Flood,Minor,3267046
PROP_00064,2020-03-01,Flood,Severe,2890717
PROP_00070,2020-03-01,Flood,Moderate,1327580
PROP_00077,2020-03-01,Flood,Severe,722070
PROP_00090,2020-03-01,Storm,Severe,3239842
PROP_00098,2020-03-01,Storm,Minor,1953988
PROP_00107,2020-03-01,Hail,Minor,2504500
PROP_00111,2020-03-01,Storm,Minor,5128031
PROP_00120,2020-03-01,Flood,Minor,605457
PROP_00125,2020-03-01,Storm,Severe,3876441
PROP_00134,2020-03-01,Storm,Minor,1929560
PROP_00135,2020-03-01,Storm,Minor,121500
PROP_00138,2020-03-01,Flood,Moderate,3446231
PROP_00144,2020-03-01,Flood,Severe,990287
PROP_00145,2020-03-01,Hail,Minor,848785
PROP_00153,2020-03-01,Storm,Minor,1568763
PROP_00156,2020-03-01,Flood,Severe,1010994
